"beta_hat","beta","gamma","sigma","distribution","g","r","cost"
3.9882676689565,4,0.005,0.5,"normal",4,472,1.9e+07
4.03821564806305,4,0.005,0.5,"normal",4,472,1.9e+07
4.01312443219343,4,0.005,0.5,"normal",4,472,1.9e+07
3.98614464036457,4,0.005,0.5,"normal",4,472,1.9e+07
3.99295502096087,4,0.005,0.5,"normal",4,472,1.9e+07
4.04431352805926,4,0.005,0.5,"normal",4,472,1.9e+07
4.02913764819939,4,0.005,0.5,"normal",4,472,1.9e+07
4.01275381540639,4,0.005,0.5,"normal",4,472,1.9e+07
4.01040274199789,4,0.005,0.5,"normal",4,472,1.9e+07
3.97324553635718,4,0.005,0.5,"normal",4,472,1.9e+07
4.02910165552559,4,0.005,0.5,"normal",4,472,1.9e+07
4.02001996727564,4,0.005,0.5,"normal",4,472,1.9e+07
3.96624738978539,4,0.005,0.5,"normal",4,472,1.9e+07
4.00067844479487,4,0.005,0.5,"normal",4,472,1.9e+07
4.0206797530505,4,0.005,0.5,"normal",4,472,1.9e+07
3.96938787442046,4,0.005,0.5,"normal",4,472,1.9e+07
4.00559449199806,4,0.005,0.5,"normal",4,472,1.9e+07
3.97655956907153,4,0.005,0.5,"normal",4,472,1.9e+07
4.0282821851831,4,0.005,0.5,"normal",4,472,1.9e+07
3.96523443583433,4,0.005,0.5,"normal",4,472,1.9e+07
4.00721070897393,4,0.005,0.5,"normal",4,472,1.9e+07
3.99282276829657,4,0.005,0.5,"normal",4,472,1.9e+07
4.01255255206342,4,0.005,0.5,"normal",4,472,1.9e+07
3.99326192439728,4,0.005,0.5,"normal",4,472,1.9e+07
4.01691179769106,4,0.005,0.5,"normal",4,472,1.9e+07
4.00604874120311,4,0.005,0.5,"normal",4,472,1.9e+07
4.00180968664719,4,0.005,0.5,"normal",4,472,1.9e+07
4.0421572836394,4,0.005,0.5,"normal",4,472,1.9e+07
3.98347245004782,4,0.005,0.5,"normal",4,472,1.9e+07
3.98985880014865,4,0.005,0.5,"normal",4,472,1.9e+07
4.01750626019374,4,0.005,0.5,"normal",4,472,1.9e+07
3.97363369656303,4,0.005,0.5,"normal",4,472,1.9e+07
3.96218895186337,4,0.005,0.5,"normal",4,472,1.9e+07
4.09473737713788,4,0.005,0.5,"normal",4,472,1.9e+07
3.99735352149928,4,0.005,0.5,"normal",4,472,1.9e+07
4.00035145788957,4,0.005,0.5,"normal",4,472,1.9e+07
3.9944016863891,4,0.005,0.5,"normal",4,472,1.9e+07
4.04645704589155,4,0.005,0.5,"normal",4,472,1.9e+07
4.00182240356874,4,0.005,0.5,"normal",4,472,1.9e+07
