"beta_hat","beta","gamma","sigma","distribution","g","r","cost"
4.04907001430502,4,0.05,0.5,"normal",4,262,18952000
3.92090980292785,4,0.05,0.5,"normal",4,262,18952000
4.04083958277186,4,0.05,0.5,"normal",4,262,18952000
3.92526207760127,4,0.05,0.5,"normal",4,262,18952000
3.94548893650932,4,0.05,0.5,"normal",4,262,18952000
3.93140532906883,4,0.05,0.5,"normal",4,262,18952000
3.94521396641288,4,0.05,0.5,"normal",4,262,18952000
3.96112549240979,4,0.05,0.5,"normal",4,262,18952000
3.94378929381439,4,0.05,0.5,"normal",4,262,18952000
4.10262454869926,4,0.05,0.5,"normal",4,262,18952000
3.86357026871926,4,0.05,0.5,"normal",4,262,18952000
4.01220421147163,4,0.05,0.5,"normal",4,262,18952000
3.99541152934841,4,0.05,0.5,"normal",4,262,18952000
3.95684413637582,4,0.05,0.5,"normal",4,262,18952000
3.91612955020172,4,0.05,0.5,"normal",4,262,18952000
4.0927445005037,4,0.05,0.5,"normal",4,262,18952000
3.92984368853672,4,0.05,0.5,"normal",4,262,18952000
3.89920452549022,4,0.05,0.5,"normal",4,262,18952000
4.07739431275864,4,0.05,0.5,"normal",4,262,18952000
3.90672912911563,4,0.05,0.5,"normal",4,262,18952000
3.94998409713179,4,0.05,0.5,"normal",4,262,18952000
3.88854994095791,4,0.05,0.5,"normal",4,262,18952000
4.02911318836984,4,0.05,0.5,"normal",4,262,18952000
4.07414436736922,4,0.05,0.5,"normal",4,262,18952000
3.9939297740161,4,0.05,0.5,"normal",4,262,18952000
3.97169595179977,4,0.05,0.5,"normal",4,262,18952000
3.92690257704272,4,0.05,0.5,"normal",4,262,18952000
3.99507458309567,4,0.05,0.5,"normal",4,262,18952000
4.00983818819855,4,0.05,0.5,"normal",4,262,18952000
4.00883127009305,4,0.05,0.5,"normal",4,262,18952000
4.02463107273287,4,0.05,0.5,"normal",4,262,18952000
4.0312455563706,4,0.05,0.5,"normal",4,262,18952000
4.03572418485068,4,0.05,0.5,"normal",4,262,18952000
3.98544953712475,4,0.05,0.5,"normal",4,262,18952000
3.93220822540063,4,0.05,0.5,"normal",4,262,18952000
4.0495977092123,4,0.05,0.5,"normal",4,262,18952000
4.02650736837383,4,0.05,0.5,"normal",4,262,18952000
3.96135598178472,4,0.05,0.5,"normal",4,262,18952000
4.04983295091149,4,0.05,0.5,"normal",4,262,18952000
4.11278858089099,4,0.05,0.5,"normal",4,262,18952000
4.01180401950572,4,0.05,0.5,"normal",4,262,18952000
3.93968288281763,4,0.05,0.5,"normal",4,262,18952000
3.95864124226853,4,0.05,0.5,"normal",4,262,18952000
4.05067482104758,4,0.05,0.5,"normal",4,262,18952000
3.97854400754428,4,0.05,0.5,"normal",4,262,18952000
4.07298445791401,4,0.05,0.5,"normal",4,262,18952000
4.00746807600751,4,0.05,0.5,"normal",4,262,18952000
4.05301917152592,4,0.05,0.5,"normal",4,262,18952000
3.93203945503039,4,0.05,0.5,"normal",4,262,18952000
4.03557485143415,4,0.05,0.5,"normal",4,262,18952000
3.94582721334526,4,0.05,0.5,"normal",4,262,18952000
4.08484601020726,4,0.05,0.5,"normal",4,262,18952000
4.05595287532354,4,0.05,0.5,"normal",4,262,18952000
3.92470481963319,4,0.05,0.5,"normal",4,262,18952000
4.01321779349954,4,0.05,0.5,"normal",4,262,18952000
4.05085649766918,4,0.05,0.5,"normal",4,262,18952000
3.99970358547655,4,0.05,0.5,"normal",4,262,18952000
3.97541084553096,4,0.05,0.5,"normal",4,262,18952000
3.99907001911902,4,0.05,0.5,"normal",4,262,18952000
4.08614553399006,4,0.05,0.5,"normal",4,262,18952000
4.00423215109001,4,0.05,0.5,"normal",4,262,18952000
4.00752205709763,4,0.05,0.5,"normal",4,262,18952000
4.05976779587347,4,0.05,0.5,"normal",4,262,18952000
4.01545090309465,4,0.05,0.5,"normal",4,262,18952000
4.03361415559007,4,0.05,0.5,"normal",4,262,18952000
4.07191387850876,4,0.05,0.5,"normal",4,262,18952000
4.09325825573823,4,0.05,0.5,"normal",4,262,18952000
4.07736499858336,4,0.05,0.5,"normal",4,262,18952000
3.89854625577036,4,0.05,0.5,"normal",4,262,18952000
3.87469768642595,4,0.05,0.5,"normal",4,262,18952000
4.04951069869974,4,0.05,0.5,"normal",4,262,18952000
4.01899258161041,4,0.05,0.5,"normal",4,262,18952000
4.03342726392673,4,0.05,0.5,"normal",4,262,18952000
4.02875244180569,4,0.05,0.5,"normal",4,262,18952000
3.99914469061965,4,0.05,0.5,"normal",4,262,18952000
4.06422566586186,4,0.05,0.5,"normal",4,262,18952000
4.03848615318221,4,0.05,0.5,"normal",4,262,18952000
3.90905226277641,4,0.05,0.5,"normal",4,262,18952000
4.08205410118994,4,0.05,0.5,"normal",4,262,18952000
4.01754579976738,4,0.05,0.5,"normal",4,262,18952000
3.82874193915267,4,0.05,0.5,"normal",4,262,18952000
4.0086992136022,4,0.05,0.5,"normal",4,262,18952000
3.88342501978395,4,0.05,0.5,"normal",4,262,18952000
4.04891794037818,4,0.05,0.5,"normal",4,262,18952000
3.97572789417894,4,0.05,0.5,"normal",4,262,18952000
3.93683202319594,4,0.05,0.5,"normal",4,262,18952000
4.01517859263919,4,0.05,0.5,"normal",4,262,18952000
3.94192718977698,4,0.05,0.5,"normal",4,262,18952000
3.95388493513549,4,0.05,0.5,"normal",4,262,18952000
3.98365975549978,4,0.05,0.5,"normal",4,262,18952000
4.09381815298092,4,0.05,0.5,"normal",4,262,18952000
