"beta_hat","beta","gamma","sigma","distribution","g","r"
4.11932381350753,4,0.5,0.5,"normal",4,472
4.53462394875897,4,0.5,0.5,"normal",4,472
4.88449657999976,4,0.5,0.5,"normal",4,472
3.66023008040748,4,0.5,0.5,"normal",4,472
3.74855142168233,4,0.5,0.5,"normal",4,472
3.56574447121513,4,0.5,0.5,"normal",4,472
3.70814656586089,4,0.5,0.5,"normal",4,472
4.83914547579814,4,0.5,0.5,"normal",4,472
4.37341157726106,4,0.5,0.5,"normal",4,472
4.07035810390427,4,0.5,0.5,"normal",4,472
3.26250253629171,4,0.5,0.5,"normal",4,472
4.40642216164826,4,0.5,0.5,"normal",4,472
3.09894563188259,4,0.5,0.5,"normal",4,472
4.20054718217702,4,0.5,0.5,"normal",4,472
4.60432045278457,4,0.5,0.5,"normal",4,472
3.45757932267679,4,0.5,0.5,"normal",4,472
5.05627240529078,4,0.5,0.5,"normal",4,472
4.19464915690018,4,0.5,0.5,"normal",4,472
4.23901588183198,4,0.5,0.5,"normal",4,472
4.86968458660906,4,0.5,0.5,"normal",4,472
4.54783697583585,4,0.5,0.5,"normal",4,472
4.57792186095307,4,0.5,0.5,"normal",4,472
3.76477292607086,4,0.5,0.5,"normal",4,472
4.33445825274666,4,0.5,0.5,"normal",4,472
4.93845946946668,4,0.5,0.5,"normal",4,472
3.93909186951697,4,0.5,0.5,"normal",4,472
4.66151205454108,4,0.5,0.5,"normal",4,472
4.2573279375051,4,0.5,0.5,"normal",4,472
3.59415066369445,4,0.5,0.5,"normal",4,472
4.41519751236779,4,0.5,0.5,"normal",4,472
4.12781182581047,4,0.5,0.5,"normal",6,313
3.88095752348395,4,0.5,0.5,"normal",6,313
3.94569461480726,4,0.5,0.5,"normal",6,313
4.10397406753966,4,0.5,0.5,"normal",6,313
3.53669776919195,4,0.5,0.5,"normal",6,313
3.42140321071594,4,0.5,0.5,"normal",6,313
4.39677938906873,4,0.5,0.5,"normal",6,313
3.85916409514775,4,0.5,0.5,"normal",6,313
4.23736017006158,4,0.5,0.5,"normal",6,313
4.80313590271777,4,0.5,0.5,"normal",6,313
3.68628218437036,4,0.5,0.5,"normal",6,313
4.06668243017589,4,0.5,0.5,"normal",6,313
