"beta_hat","beta","gamma","sigma","distribution","g","r","cost"
3.97902999545255,4,0.005,0.5,"normal",4,262,18952000
3.97657366018639,4,0.005,0.5,"normal",4,262,18952000
3.99114149100515,4,0.005,0.5,"normal",4,262,18952000
3.96707522952659,4,0.005,0.5,"normal",4,262,18952000
4.03017799196435,4,0.005,0.5,"normal",4,262,18952000
4.04325152543901,4,0.005,0.5,"normal",4,262,18952000
3.96606293398724,4,0.005,0.5,"normal",4,262,18952000
4.03993283163635,4,0.005,0.5,"normal",4,262,18952000
3.95699043074154,4,0.005,0.5,"normal",4,262,18952000
4.01897557439151,4,0.005,0.5,"normal",4,262,18952000
3.99557231529695,4,0.005,0.5,"normal",6,174,18924000
3.95265244610988,4,0.005,0.5,"normal",6,174,18924000
4.03133342671521,4,0.005,0.5,"normal",6,174,18924000
3.98258096778199,4,0.005,0.5,"normal",6,174,18924000
4.0028037000113,4,0.005,0.5,"normal",6,174,18924000
4.05175986243373,4,0.005,0.5,"normal",6,174,18924000
4.00841843441764,4,0.005,0.5,"normal",6,174,18924000
3.99102850599795,4,0.005,0.5,"normal",6,174,18924000
3.99698532325236,4,0.005,0.5,"normal",6,174,18924000
4.00876490943224,4,0.005,0.5,"normal",6,174,18924000
4.03958579837607,4,0.005,0.5,"normal",8,130,18896000
4.05756265148326,4,0.005,0.5,"normal",8,130,18896000
4.02634373996917,4,0.005,0.5,"normal",8,130,18896000
4.02189520141316,4,0.005,0.5,"normal",8,130,18896000
4.00101749633916,4,0.005,0.5,"normal",8,130,18896000
4.05510089876261,4,0.005,0.5,"normal",8,130,18896000
3.98837422320713,4,0.005,0.5,"normal",8,130,18896000
3.99903545373059,4,0.005,0.5,"normal",8,130,18896000
4.04381122344929,4,0.005,0.5,"normal",8,130,18896000
3.98901899673933,4,0.005,0.5,"normal",8,130,18896000
4.01286051239906,4,0.005,0.5,"normal",10,104,18940000
4.01511424000825,4,0.005,0.5,"normal",10,104,18940000
3.97799106417089,4,0.005,0.5,"normal",10,104,18940000
4.02849023888317,4,0.005,0.5,"normal",10,104,18940000
3.99915212358382,4,0.005,0.5,"normal",10,104,18940000
4.00386033116521,4,0.005,0.5,"normal",10,104,18940000
3.98451263951848,4,0.005,0.5,"normal",10,104,18940000
3.99017260599196,4,0.005,0.5,"normal",10,104,18940000
3.98992437925898,4,0.005,0.5,"normal",10,104,18940000
3.96009748684202,4,0.005,0.5,"normal",10,104,18940000
3.98200032051448,4,0.005,0.5,"normal",12,86,18840000
4.01135969212208,4,0.005,0.5,"normal",12,86,18840000
4.03004236571121,4,0.005,0.5,"normal",12,86,18840000
3.91351964098228,4,0.005,0.5,"normal",12,86,18840000
4.02765979832703,4,0.005,0.5,"normal",12,86,18840000
4.0394727417991,4,0.005,0.5,"normal",12,86,18840000
3.98848369048151,4,0.005,0.5,"normal",12,86,18840000
3.98915596781365,4,0.005,0.5,"normal",12,86,18840000
3.98366505533272,4,0.005,0.5,"normal",12,86,18840000
4.02459076336687,4,0.005,0.5,"normal",12,86,18840000
3.96000964009875,4,0.005,0.5,"normal",14,74,18956000
3.97648618407392,4,0.005,0.5,"normal",14,74,18956000
3.98585038369938,4,0.005,0.5,"normal",14,74,18956000
3.96841105214937,4,0.005,0.5,"normal",14,74,18956000
4.04563073105604,4,0.005,0.5,"normal",14,74,18956000
3.97919096686883,4,0.005,0.5,"normal",14,74,18956000
3.92254458906343,4,0.005,0.5,"normal",14,74,18956000
4.01716231724607,4,0.005,0.5,"normal",14,74,18956000
3.95011067679545,4,0.005,0.5,"normal",14,74,18956000
4.07511751398029,4,0.005,0.5,"normal",14,74,18956000
4.00211330561985,4,0.005,0.5,"normal",16,64,18784000
4.05001123291517,4,0.005,0.5,"normal",16,64,18784000
3.975944273455,4,0.005,0.5,"normal",16,64,18784000
3.97461583847926,4,0.005,0.5,"normal",16,64,18784000
4.02032499567631,4,0.005,0.5,"normal",16,64,18784000
3.9660385418449,4,0.005,0.5,"normal",16,64,18784000
3.99726928444122,4,0.005,0.5,"normal",16,64,18784000
4.00774019759792,4,0.005,0.5,"normal",16,64,18784000
3.99691203294003,4,0.005,0.5,"normal",16,64,18784000
4.00784450171983,4,0.005,0.5,"normal",16,64,18784000
3.98751300010342,4,0.005,0.5,"normal",18,57,18864000
3.99337278324576,4,0.005,0.5,"normal",18,57,18864000
