"beta_hat","beta","gamma","sigma","distribution","g","r"
3.5766915563586,4,0.5,0.5,"normal",10,104
4.09295509599533,4,0.5,0.5,"normal",10,104
3.88970749476094,4,0.5,0.5,"normal",10,104
4.38543543294838,4,0.5,0.5,"normal",10,104
4.50952791295329,4,0.5,0.5,"normal",10,104
4.1008386748837,4,0.5,0.5,"normal",10,104
3.14652520929055,4,0.5,0.5,"normal",10,104
4.12775451333496,4,0.5,0.5,"normal",10,104
3.32927880217997,4,0.5,0.5,"normal",10,104
4.84922466242309,4,0.5,0.5,"normal",10,104
4.30174056550333,4,0.5,0.5,"normal",10,104
3.07777489749436,4,0.5,0.5,"normal",10,104
3.60200075107715,4,0.5,0.5,"normal",10,104
3.58818334556759,4,0.5,0.5,"normal",10,104
3.94629830846948,4,0.5,0.5,"normal",12,86
3.64006392793231,4,0.5,0.5,"normal",12,86
4.19298195594464,4,0.5,0.5,"normal",12,86
4.10259110339877,4,0.5,0.5,"normal",12,86
4.0918616354909,4,0.5,0.5,"normal",12,86
3.9458610103105,4,0.5,0.5,"normal",12,86
4.14828752183317,4,0.5,0.5,"normal",12,86
4.34324409822259,4,0.5,0.5,"normal",12,86
3.81764927758771,4,0.5,0.5,"normal",12,86
3.40502382785009,4,0.5,0.5,"normal",12,86
4.27781508656823,4,0.5,0.5,"normal",12,86
4.24777427252172,4,0.5,0.5,"normal",12,86
4.00986047630962,4,0.5,0.5,"normal",12,86
4.37581953231549,4,0.5,0.5,"normal",12,86
4.31005486580282,4,0.5,0.5,"normal",12,86
4.6123125354809,4,0.5,0.5,"normal",12,86
3.70341291906986,4,0.5,0.5,"normal",12,86
4.73537180340102,4,0.5,0.5,"normal",12,86
4.09590956110243,4,0.5,0.5,"normal",12,86
4.31005280707152,4,0.5,0.5,"normal",12,86
3.68314210335201,4,0.5,0.5,"normal",12,86
4.0042803306771,4,0.5,0.5,"normal",12,86
4.23979430872166,4,0.5,0.5,"normal",12,86
4.08040396596143,4,0.5,0.5,"normal",12,86
3.78183937037603,4,0.5,0.5,"normal",12,86
4.30910750802701,4,0.5,0.5,"normal",12,86
4.27983193941939,4,0.5,0.5,"normal",12,86
4.33236256371451,4,0.5,0.5,"normal",12,86
4.00966944090803,4,0.5,0.5,"normal",12,86
3.56293386923044,4,0.5,0.5,"normal",12,86
3.76537584291726,4,0.5,0.5,"normal",14,74
4.13557734586758,4,0.5,0.5,"normal",14,74
4.11030536715409,4,0.5,0.5,"normal",14,74
3.80682775666054,4,0.5,0.5,"normal",14,74
4.19037917029097,4,0.5,0.5,"normal",14,74
3.54234614411761,4,0.5,0.5,"normal",14,74
4.06414318307605,4,0.5,0.5,"normal",14,74
4.28045516631437,4,0.5,0.5,"normal",14,74
3.86033641895812,4,0.5,0.5,"normal",14,74
4.40190268293197,4,0.5,0.5,"normal",14,74
4.25752199041848,4,0.5,0.5,"normal",14,74
