"beta_hat","beta","gamma","sigma","distribution","g","r"
0.0979730378663577,0.05,0.5,0.5,"normal",10,187
1.18766593995214,0.05,0.5,0.5,"normal",10,187
0.203344472466643,0.05,0.5,0.5,"normal",10,187
-0.0124055365942538,0.05,0.5,0.5,"normal",10,187
0.0661838145861685,0.05,0.5,0.5,"normal",10,187
-0.443262163449909,0.05,0.5,0.5,"normal",10,187
-0.561544320749629,0.05,0.5,0.5,"normal",10,187
0.147551506805609,0.05,0.5,0.5,"normal",10,187
0.172557690882985,0.05,0.5,0.5,"normal",10,187
0.793673391757692,0.05,0.5,0.5,"normal",10,187
0.516066195434226,0.05,0.5,0.5,"normal",12,155
0.222499513923264,0.05,0.5,0.5,"normal",12,155
-0.398709030485054,0.05,0.5,0.5,"normal",12,155
-0.105702485816346,0.05,0.5,0.5,"normal",12,155
-0.188549971395831,0.05,0.5,0.5,"normal",12,155
0.225717692344748,0.05,0.5,0.5,"normal",12,155
0.054674029400801,0.05,0.5,0.5,"normal",12,155
-0.401606367585528,0.05,0.5,0.5,"normal",12,155
0.52275591705275,0.05,0.5,0.5,"normal",12,155
0.51112578475246,0.05,0.5,0.5,"normal",12,155
-0.421560622537652,0.05,0.5,0.5,"normal",12,155
-0.223577585998569,0.05,0.5,0.5,"normal",12,155
-0.180964546790921,0.05,0.5,0.5,"normal",12,155
-0.526694282421482,0.05,0.5,0.5,"normal",12,155
0.518413150482026,0.05,0.5,0.5,"normal",12,155
0.248827743015136,0.05,0.5,0.5,"normal",12,155
0.433190762529169,0.05,0.5,0.5,"normal",12,155
0.405787081214375,0.05,0.5,0.5,"normal",12,155
-0.361658238609958,0.05,0.5,0.5,"normal",12,155
-0.228684307338801,0.05,0.5,0.5,"normal",12,155
-0.588721917758171,0.05,0.5,0.5,"normal",12,155
0.297277260970869,0.05,0.5,0.5,"normal",12,155
0.00664259011192993,0.05,0.5,0.5,"normal",12,155
-0.64587643782161,0.05,0.5,0.5,"normal",12,155
-0.0523029774167185,0.05,0.5,0.5,"normal",12,155
0.336960482957573,0.05,0.5,0.5,"normal",12,155
0.111335246645372,0.05,0.5,0.5,"normal",12,155
-0.506963410104151,0.05,0.5,0.5,"normal",12,155
0.767806375240356,0.05,0.5,0.5,"normal",12,155
-0.528838598283093,0.05,0.5,0.5,"normal",12,155
0.127577831331342,0.05,0.5,0.5,"normal",14,132
0.141765492874481,0.05,0.5,0.5,"normal",14,132
-0.222394488344511,0.05,0.5,0.5,"normal",14,132
-0.0787773654046676,0.05,0.5,0.5,"normal",14,132
-0.372150704706691,0.05,0.5,0.5,"normal",14,132
0.394523892437258,0.05,0.5,0.5,"normal",14,132
-0.0947049588458391,0.05,0.5,0.5,"normal",14,132
-0.128494546776876,0.05,0.5,0.5,"normal",14,132
0.0243631893210385,0.05,0.5,0.5,"normal",14,132
0.315842047631933,0.05,0.5,0.5,"normal",14,132
0.160730733282109,0.05,0.5,0.5,"normal",14,132
0.222983921697979,0.05,0.5,0.5,"normal",14,132
0.164771353012631,0.05,0.5,0.5,"normal",14,132
-0.427035947843498,0.05,0.5,0.5,"normal",14,132
0.0328284460484652,0.05,0.5,0.5,"normal",14,132
0.220282789659573,0.05,0.5,0.5,"normal",14,132
0.132501662383983,0.05,0.5,0.5,"normal",14,132
-0.292740762927556,0.05,0.5,0.5,"normal",14,132
-0.0463085130805067,0.05,0.5,0.5,"normal",14,132
-0.0545662964177393,0.05,0.5,0.5,"normal",14,132
0.826792404294712,0.05,0.5,0.5,"normal",14,132
-0.0507230617176027,0.05,0.5,0.5,"normal",14,132
0.430315676555028,0.05,0.5,0.5,"normal",14,132
-0.359962651531674,0.05,0.5,0.5,"normal",14,132
-0.0591972432891999,0.05,0.5,0.5,"normal",14,132
0.0100445924918644,0.05,0.5,0.5,"normal",14,132
-0.141647434986536,0.05,0.5,0.5,"normal",14,132
-0.0611123642466806,0.05,0.5,0.5,"normal",14,132
0.1157748901332,0.05,0.5,0.5,"normal",14,132
0.552100392956228,0.05,0.5,0.5,"normal",14,132
0.27245990556706,0.05,0.5,0.5,"normal",16,115
0.171918432066612,0.05,0.5,0.5,"normal",16,115
-0.164771377522695,0.05,0.5,0.5,"normal",16,115
0.205557320803119,0.05,0.5,0.5,"normal",16,115
0.130465783448628,0.05,0.5,0.5,"normal",16,115
-0.317025390905686,0.05,0.5,0.5,"normal",16,115
0.0352951205034756,0.05,0.5,0.5,"normal",16,115
0.105757403514501,0.05,0.5,0.5,"normal",16,115
0.0768301554681089,0.05,0.5,0.5,"normal",16,115
-0.0844649130324646,0.05,0.5,0.5,"normal",16,115
0.0130130295098634,0.05,0.5,0.5,"normal",16,115
-0.310344037359873,0.05,0.5,0.5,"normal",16,115
-0.273769818778162,0.05,0.5,0.5,"normal",16,115
0.241680961225053,0.05,0.5,0.5,"normal",16,115
-0.280369446485624,0.05,0.5,0.5,"normal",16,115
0.524169897467401,0.05,0.5,0.5,"normal",16,115
-0.217884766865306,0.05,0.5,0.5,"normal",16,115
0.465572129676281,0.05,0.5,0.5,"normal",16,115
0.0154966233251091,0.05,0.5,0.5,"normal",16,115
0.335972333150547,0.05,0.5,0.5,"normal",16,115
0.512895340229174,0.05,0.5,0.5,"normal",16,115
0.00691017396638519,0.05,0.5,0.5,"normal",16,115
0.0334966418233233,0.05,0.5,0.5,"normal",16,115
0.00956559593834092,0.05,0.5,0.5,"normal",16,115
-0.321158997684447,0.05,0.5,0.5,"normal",16,115
-0.0685600292098492,0.05,0.5,0.5,"normal",16,115
0.110037081124584,0.05,0.5,0.5,"normal",16,115
-0.333197810616226,0.05,0.5,0.5,"normal",16,115
-0.0673423896031034,0.05,0.5,0.5,"normal",16,115
0.37383744092454,0.05,0.5,0.5,"normal",16,115
0.455338018908927,0.05,0.5,0.5,"normal",18,102
-0.151243447451386,0.05,0.5,0.5,"normal",18,102
-0.0680329876483144,0.05,0.5,0.5,"normal",18,102
0.179293646350142,0.05,0.5,0.5,"normal",18,102
-0.31960273047337,0.05,0.5,0.5,"normal",18,102
0.240256205570116,0.05,0.5,0.5,"normal",18,102
-0.102529091884066,0.05,0.5,0.5,"normal",18,102
-0.246528235799275,0.05,0.5,0.5,"normal",18,102
0.439786685588506,0.05,0.5,0.5,"normal",18,102
0.497611908217155,0.05,0.5,0.5,"normal",18,102
0.155370564363421,0.05,0.5,0.5,"normal",18,102
0.44087091349671,0.05,0.5,0.5,"normal",18,102
-0.321223166814395,0.05,0.5,0.5,"normal",18,102
-0.030045807975915,0.05,0.5,0.5,"normal",18,102
0.167828549410106,0.05,0.5,0.5,"normal",18,102
0.00589957921208818,0.05,0.5,0.5,"normal",18,102
-0.0729375999416725,0.05,0.5,0.5,"normal",18,102
0.0414833860998869,0.05,0.5,0.5,"normal",18,102
0.00231637994132744,0.05,0.5,0.5,"normal",18,102
-0.162245007963295,0.05,0.5,0.5,"normal",18,102
0.323893190993987,0.05,0.5,0.5,"normal",18,102
