"beta_hat","beta","gamma","sigma","distribution","g","r"
4.04478033610283,4,0.005,0.5,"normal",4,262
3.96926229403253,4,0.005,0.5,"normal",4,262
3.98352424004688,4,0.005,0.5,"normal",4,262
3.98023630410785,4,0.005,0.5,"normal",4,262
4.01217584671995,4,0.005,0.5,"normal",4,262
4.01200760983481,4,0.005,0.5,"normal",4,262
3.96061277163192,4,0.005,0.5,"normal",4,262
3.99735430007923,4,0.005,0.5,"normal",4,262
4.02109241739094,4,0.005,0.5,"normal",4,262
3.9529413629337,4,0.005,0.5,"normal",4,262
4.0010434426457,4,0.005,0.5,"normal",4,262
4.00168832926185,4,0.005,0.5,"normal",4,262
4.04577225016802,4,0.005,0.5,"normal",4,262
3.9799105196038,4,0.005,0.5,"normal",4,262
3.97797972534094,4,0.005,0.5,"normal",4,262
4.02955021611836,4,0.005,0.5,"normal",4,262
4.01255735307644,4,0.005,0.5,"normal",4,262
4.03236439598112,4,0.005,0.5,"normal",4,262
4.0000200373324,4,0.005,0.5,"normal",4,262
3.97404967045634,4,0.005,0.5,"normal",4,262
4.00382356403387,4,0.005,0.5,"normal",4,262
3.98877972484254,4,0.005,0.5,"normal",4,262
4.04185020602296,4,0.005,0.5,"normal",4,262
3.99188793125035,4,0.005,0.5,"normal",4,262
4.01637557064731,4,0.005,0.5,"normal",4,262
4.0158693504338,4,0.005,0.5,"normal",4,262
3.95753339618552,4,0.005,0.5,"normal",4,262
3.97198051258695,4,0.005,0.5,"normal",4,262
3.99975776640535,4,0.005,0.5,"normal",4,262
3.9774226984052,4,0.005,0.5,"normal",4,262
4.02687683947679,4,0.005,0.5,"normal",4,262
3.9767070690863,4,0.005,0.5,"normal",4,262
3.972781172922,4,0.005,0.5,"normal",4,262
3.9934324630738,4,0.005,0.5,"normal",4,262
3.98467944026166,4,0.005,0.5,"normal",4,262
4.01583364741116,4,0.005,0.5,"normal",4,262
3.98839511574262,4,0.005,0.5,"normal",4,262
4.00107885003793,4,0.005,0.5,"normal",4,262
3.99060044838044,4,0.005,0.5,"normal",4,262
4.02434452679692,4,0.005,0.5,"normal",4,262
4.03467171430202,4,0.005,0.5,"normal",4,262
4.05576410161059,4,0.005,0.5,"normal",4,262
3.99906893638178,4,0.005,0.5,"normal",4,262
4.03805334837574,4,0.005,0.5,"normal",4,262
4.02675928687596,4,0.005,0.5,"normal",4,262
4.01351972000205,4,0.005,0.5,"normal",4,262
4.06547897181699,4,0.005,0.5,"normal",4,262
3.96366193045211,4,0.005,0.5,"normal",4,262
4.0304386574534,4,0.005,0.5,"normal",4,262
3.92891120015887,4,0.005,0.5,"normal",4,262
3.97815257857898,4,0.005,0.5,"normal",4,262
4.02464585136257,4,0.005,0.5,"normal",4,262
4.0504572652408,4,0.005,0.5,"normal",4,262
3.99999311531563,4,0.005,0.5,"normal",4,262
4.01326600813717,4,0.005,0.5,"normal",4,262
4.01266359068809,4,0.005,0.5,"normal",4,262
3.96232980690993,4,0.005,0.5,"normal",4,262
4.0203568626434,4,0.005,0.5,"normal",4,262
4.01440605507957,4,0.005,0.5,"normal",4,262
3.99395789365606,4,0.005,0.5,"normal",4,262
3.96219703622592,4,0.005,0.5,"normal",4,262
4.00120632633358,4,0.005,0.5,"normal",4,262
4.02305266375614,4,0.005,0.5,"normal",4,262
3.96721949949778,4,0.005,0.5,"normal",4,262
3.9669641858846,4,0.005,0.5,"normal",4,262
3.97527333152676,4,0.005,0.5,"normal",4,262
3.99278124910982,4,0.005,0.5,"normal",4,262
4.00233971766489,4,0.005,0.5,"normal",4,262
3.94610109811935,4,0.005,0.5,"normal",4,262
3.95895036116359,4,0.005,0.5,"normal",4,262
4.02612600488541,4,0.005,0.5,"normal",4,262
4.02397566958798,4,0.005,0.5,"normal",4,262
3.99669803258404,4,0.005,0.5,"normal",4,262
3.98201867367592,4,0.005,0.5,"normal",4,262
4.05667992779129,4,0.005,0.5,"normal",4,262
4.01252052543712,4,0.005,0.5,"normal",4,262
4.02813577406796,4,0.005,0.5,"normal",4,262
4.0007922589258,4,0.005,0.5,"normal",4,262
3.99477944010941,4,0.005,0.5,"normal",4,262
3.98106339579976,4,0.005,0.5,"normal",4,262
3.98219022533431,4,0.005,0.5,"normal",4,262
3.99566494657938,4,0.005,0.5,"normal",4,262
3.96148445851758,4,0.005,0.5,"normal",4,262
3.966440339848,4,0.005,0.5,"normal",4,262
4.0093243334495,4,0.005,0.5,"normal",4,262
4.030477594825,4,0.005,0.5,"normal",4,262
3.99666201453509,4,0.005,0.5,"normal",4,262
3.94032872052654,4,0.005,0.5,"normal",4,262
3.99608562272726,4,0.005,0.5,"normal",4,262
4.01879074898539,4,0.005,0.5,"normal",4,262
4.02017632152566,4,0.005,0.5,"normal",4,262
3.94402399192587,4,0.005,0.5,"normal",4,262
4.01858281687544,4,0.005,0.5,"normal",4,262
3.98173065335679,4,0.005,0.5,"normal",4,262
4.01325442450741,4,0.005,0.5,"normal",4,262
3.97975930762048,4,0.005,0.5,"normal",4,262
4.0667858222727,4,0.005,0.5,"normal",4,262
3.97939495331465,4,0.005,0.5,"normal",4,262
4.00164171938854,4,0.005,0.5,"normal",4,262
3.98745330160673,4,0.005,0.5,"normal",4,262
3.94811108744618,4,0.005,0.5,"normal",4,262
4.00829249759012,4,0.005,0.5,"normal",4,262
4.0444067414081,4,0.005,0.5,"normal",4,262
4.01355031294298,4,0.005,0.5,"normal",4,262
3.96330798763001,4,0.005,0.5,"normal",4,262
4.04236854638281,4,0.005,0.5,"normal",4,262
4.00036986676462,4,0.005,0.5,"normal",4,262
4.04521657986114,4,0.005,0.5,"normal",4,262
4.00542623237794,4,0.005,0.5,"normal",4,262
3.99141840911362,4,0.005,0.5,"normal",4,262
4.01381535776532,4,0.005,0.5,"normal",4,262
3.99425394115859,4,0.005,0.5,"normal",4,262
4.0577853615011,4,0.005,0.5,"normal",4,262
3.99796134932954,4,0.005,0.5,"normal",4,262
4.01721315026467,4,0.005,0.5,"normal",4,262
3.98423414769994,4,0.005,0.5,"normal",4,262
4.07177851624343,4,0.005,0.5,"normal",4,262
3.969012176646,4,0.005,0.5,"normal",4,262
4.01553263381369,4,0.005,0.5,"normal",4,262
4.04949790966667,4,0.005,0.5,"normal",4,262
4.00281108756576,4,0.005,0.5,"normal",4,262
3.96845609157645,4,0.005,0.5,"normal",4,262
4.00511434023553,4,0.005,0.5,"normal",4,262
3.98180588544723,4,0.005,0.5,"normal",4,262
3.97251575897882,4,0.005,0.5,"normal",4,262
3.96958472833572,4,0.005,0.5,"normal",4,262
4.06717727083827,4,0.005,0.5,"normal",4,262
4.04589560420209,4,0.005,0.5,"normal",4,262
4.03357051585819,4,0.005,0.5,"normal",4,262
4.00360597494765,4,0.005,0.5,"normal",4,262
4.03313517362033,4,0.005,0.5,"normal",4,262
3.99065074961207,4,0.005,0.5,"normal",4,262
4.02317360538781,4,0.005,0.5,"normal",4,262
4.00598725096898,4,0.005,0.5,"normal",4,262
3.97288522210678,4,0.005,0.5,"normal",4,262
3.98004916814989,4,0.005,0.5,"normal",4,262
4.01219119309801,4,0.005,0.5,"normal",4,262
4.05536935178875,4,0.005,0.5,"normal",4,262
4.02473034731499,4,0.005,0.5,"normal",4,262
3.97071241440288,4,0.005,0.5,"normal",4,262
3.9908042561086,4,0.005,0.5,"normal",4,262
4.05313355750254,4,0.005,0.5,"normal",4,262
3.9926349262415,4,0.005,0.5,"normal",4,262
3.97593793448615,4,0.005,0.5,"normal",4,262
3.97246279440366,4,0.005,0.5,"normal",4,262
3.95201504203109,4,0.005,0.5,"normal",4,262
3.97800293386535,4,0.005,0.5,"normal",4,262
3.97531090638856,4,0.005,0.5,"normal",4,262
4.05686040310207,4,0.005,0.5,"normal",4,262
4.01454442827962,4,0.005,0.5,"normal",4,262
4.04835502785967,4,0.005,0.5,"normal",4,262
4.01571662458362,4,0.005,0.5,"normal",4,262
3.9724190438585,4,0.005,0.5,"normal",4,262
3.94367969626731,4,0.005,0.5,"normal",4,262
3.97849724045263,4,0.005,0.5,"normal",4,262
3.99831811776886,4,0.005,0.5,"normal",4,262
4.04733949231649,4,0.005,0.5,"normal",4,262
4.00436905688355,4,0.005,0.5,"normal",4,262
4.00242238802634,4,0.005,0.5,"normal",4,262
3.97407902084464,4,0.005,0.5,"normal",4,262
3.96236136873845,4,0.005,0.5,"normal",4,262
3.98968355615852,4,0.005,0.5,"normal",4,262
3.95016263344815,4,0.005,0.5,"normal",4,262
3.99850350746792,4,0.005,0.5,"normal",4,262
3.97480197046185,4,0.005,0.5,"normal",4,262
4.00452292051401,4,0.005,0.5,"normal",4,262
4.03085130491096,4,0.005,0.5,"normal",4,262
3.99791654243912,4,0.005,0.5,"normal",4,262
3.96208518837714,4,0.005,0.5,"normal",4,262
4.00975130044666,4,0.005,0.5,"normal",4,262
3.99556906814356,4,0.005,0.5,"normal",4,262
3.94176536622659,4,0.005,0.5,"normal",4,262
3.99426683679845,4,0.005,0.5,"normal",4,262
3.9615830504764,4,0.005,0.5,"normal",4,262
4.00853610256005,4,0.005,0.5,"normal",4,262
4.04970025465433,4,0.005,0.5,"normal",4,262
3.98114050572527,4,0.005,0.5,"normal",4,262
3.99688009666418,4,0.005,0.5,"normal",4,262
3.97317160681841,4,0.005,0.5,"normal",4,262
3.97999707578164,4,0.005,0.5,"normal",4,262
3.95912448509604,4,0.005,0.5,"normal",4,262
3.95174416668818,4,0.005,0.5,"normal",4,262
3.9838395454265,4,0.005,0.5,"normal",4,262
3.98093614126394,4,0.005,0.5,"normal",4,262
4.01609093505721,4,0.005,0.5,"normal",4,262
3.97700072252152,4,0.005,0.5,"normal",4,262
3.95809205272342,4,0.005,0.5,"normal",4,262
3.95853998845072,4,0.005,0.5,"normal",4,262
4.02400333968761,4,0.005,0.5,"normal",4,262
4.02070421756947,4,0.005,0.5,"normal",4,262
4.06772900017918,4,0.005,0.5,"normal",4,262
3.98750183506836,4,0.005,0.5,"normal",4,262
4.03101749474976,4,0.005,0.5,"normal",4,262
3.97232543300155,4,0.005,0.5,"normal",4,262
3.96451711480997,4,0.005,0.5,"normal",6,174
4.00143933207956,4,0.005,0.5,"normal",6,174
3.96179179065539,4,0.005,0.5,"normal",6,174
3.99752998484585,4,0.005,0.5,"normal",6,174
4.02445676309118,4,0.005,0.5,"normal",6,174
4.00414691363209,4,0.005,0.5,"normal",6,174
4.05381439084777,4,0.005,0.5,"normal",6,174
3.99452806365953,4,0.005,0.5,"normal",6,174
3.98476644859373,4,0.005,0.5,"normal",6,174
4.02908476464454,4,0.005,0.5,"normal",6,174
3.95272939846826,4,0.005,0.5,"normal",6,174
3.99123414234485,4,0.005,0.5,"normal",6,174
3.99917756125421,4,0.005,0.5,"normal",6,174
4.0042721666081,4,0.005,0.5,"normal",6,174
4.04702814188614,4,0.005,0.5,"normal",6,174
3.99525993914234,4,0.005,0.5,"normal",6,174
4.008503224334,4,0.005,0.5,"normal",6,174
3.98219444783252,4,0.005,0.5,"normal",6,174
4.02388750567823,4,0.005,0.5,"normal",6,174
3.92886042284046,4,0.005,0.5,"normal",6,174
3.98139081529407,4,0.005,0.5,"normal",6,174
3.93923157658342,4,0.005,0.5,"normal",6,174
3.99881394462735,4,0.005,0.5,"normal",6,174
4.01394439657508,4,0.005,0.5,"normal",6,174
4.00233663087904,4,0.005,0.5,"normal",6,174
3.99005469310243,4,0.005,0.5,"normal",6,174
3.97522006333275,4,0.005,0.5,"normal",6,174
4.02414488392261,4,0.005,0.5,"normal",6,174
4.02238539709078,4,0.005,0.5,"normal",6,174
4.08186887965247,4,0.005,0.5,"normal",6,174
3.98629779232148,4,0.005,0.5,"normal",6,174
4.03414400215182,4,0.005,0.5,"normal",6,174
3.99250260277395,4,0.005,0.5,"normal",6,174
3.97706095101076,4,0.005,0.5,"normal",6,174
4.02491208820942,4,0.005,0.5,"normal",6,174
4.00570173853064,4,0.005,0.5,"normal",6,174
3.99472005864441,4,0.005,0.5,"normal",6,174
3.9925471497123,4,0.005,0.5,"normal",6,174
4.03240236385951,4,0.005,0.5,"normal",6,174
3.98845091893215,4,0.005,0.5,"normal",6,174
4.07755108169761,4,0.005,0.5,"normal",6,174
4.0205536586134,4,0.005,0.5,"normal",6,174
4.03166871320399,4,0.005,0.5,"normal",6,174
4.00850867394242,4,0.005,0.5,"normal",6,174
3.96714166160932,4,0.005,0.5,"normal",6,174
3.91613995001658,4,0.005,0.5,"normal",6,174
3.93290358225391,4,0.005,0.5,"normal",6,174
3.98899451501248,4,0.005,0.5,"normal",6,174
4.02820832370967,4,0.005,0.5,"normal",6,174
4.05046531423731,4,0.005,0.5,"normal",6,174
3.99601728386906,4,0.005,0.5,"normal",6,174
3.98892813344052,4,0.005,0.5,"normal",6,174
3.94942452839117,4,0.005,0.5,"normal",6,174
3.96351570236332,4,0.005,0.5,"normal",6,174
4.00981476484604,4,0.005,0.5,"normal",6,174
4.05627179179424,4,0.005,0.5,"normal",6,174
3.99881265498841,4,0.005,0.5,"normal",6,174
3.99193847167875,4,0.005,0.5,"normal",6,174
4.02627088961734,4,0.005,0.5,"normal",6,174
3.98463773659643,4,0.005,0.5,"normal",6,174
3.9968362599452,4,0.005,0.5,"normal",6,174
3.9762039696951,4,0.005,0.5,"normal",6,174
4.01523825539373,4,0.005,0.5,"normal",6,174
3.92878169245388,4,0.005,0.5,"normal",6,174
4.0280912977573,4,0.005,0.5,"normal",6,174
4.06966913841982,4,0.005,0.5,"normal",6,174
4.00395825330661,4,0.005,0.5,"normal",6,174
3.99500669120027,4,0.005,0.5,"normal",6,174
4.02357956480251,4,0.005,0.5,"normal",6,174
3.98956253825454,4,0.005,0.5,"normal",6,174
3.99893920645228,4,0.005,0.5,"normal",6,174
3.96423875513629,4,0.005,0.5,"normal",6,174
4.01944877019532,4,0.005,0.5,"normal",6,174
3.9824416610363,4,0.005,0.5,"normal",6,174
4.03714246705702,4,0.005,0.5,"normal",6,174
3.97290987839391,4,0.005,0.5,"normal",6,174
3.99077010706555,4,0.005,0.5,"normal",6,174
4.01919555573849,4,0.005,0.5,"normal",6,174
3.97886300788967,4,0.005,0.5,"normal",6,174
3.99988202651253,4,0.005,0.5,"normal",6,174
3.92499040486771,4,0.005,0.5,"normal",6,174
4.05086474239734,4,0.005,0.5,"normal",6,174
3.98322231743541,4,0.005,0.5,"normal",6,174
3.98050453302598,4,0.005,0.5,"normal",6,174
3.98249538854224,4,0.005,0.5,"normal",6,174
3.95226040804868,4,0.005,0.5,"normal",6,174
4.01670966933661,4,0.005,0.5,"normal",6,174
4.0277195915954,4,0.005,0.5,"normal",6,174
3.98563137419504,4,0.005,0.5,"normal",6,174
4.00662835861776,4,0.005,0.5,"normal",6,174
3.99473063681706,4,0.005,0.5,"normal",6,174
4.01552884618146,4,0.005,0.5,"normal",6,174
4.06202478281117,4,0.005,0.5,"normal",6,174
4.00258709670435,4,0.005,0.5,"normal",6,174
4.0100865954698,4,0.005,0.5,"normal",6,174
3.99245174271428,4,0.005,0.5,"normal",6,174
3.98738212968113,4,0.005,0.5,"normal",6,174
4.02584699445719,4,0.005,0.5,"normal",6,174
3.99262650221879,4,0.005,0.5,"normal",6,174
4.0156807529636,4,0.005,0.5,"normal",6,174
4.01056849951772,4,0.005,0.5,"normal",6,174
3.99272072434303,4,0.005,0.5,"normal",6,174
3.99442905416083,4,0.005,0.5,"normal",6,174
3.95933944200803,4,0.005,0.5,"normal",6,174
3.99902867582736,4,0.005,0.5,"normal",6,174
3.97987360078724,4,0.005,0.5,"normal",6,174
3.97885850858706,4,0.005,0.5,"normal",6,174
4.0057148744814,4,0.005,0.5,"normal",6,174
4.01280714977277,4,0.005,0.5,"normal",6,174
4.0154799615227,4,0.005,0.5,"normal",6,174
3.95596411576046,4,0.005,0.5,"normal",6,174
4.04738224231876,4,0.005,0.5,"normal",6,174
3.95283996307346,4,0.005,0.5,"normal",6,174
3.97887083112753,4,0.005,0.5,"normal",6,174
4.02886719993537,4,0.005,0.5,"normal",6,174
4.00636656184662,4,0.005,0.5,"normal",6,174
4.00158157523823,4,0.005,0.5,"normal",6,174
3.97068918070313,4,0.005,0.5,"normal",6,174
4.03772257177167,4,0.005,0.5,"normal",6,174
4.04005304722932,4,0.005,0.5,"normal",6,174
4.00119561706879,4,0.005,0.5,"normal",6,174
4.03133337173102,4,0.005,0.5,"normal",6,174
3.968676433322,4,0.005,0.5,"normal",6,174
4.01354701674888,4,0.005,0.5,"normal",6,174
4.00847494788672,4,0.005,0.5,"normal",6,174
4.00508293241934,4,0.005,0.5,"normal",6,174
3.98683223759675,4,0.005,0.5,"normal",6,174
4.03719485016812,4,0.005,0.5,"normal",6,174
3.98761984633177,4,0.005,0.5,"normal",6,174
3.97824178312481,4,0.005,0.5,"normal",6,174
3.95820306150468,4,0.005,0.5,"normal",6,174
3.99857856045154,4,0.005,0.5,"normal",6,174
4.00356991962001,4,0.005,0.5,"normal",6,174
3.99597770446477,4,0.005,0.5,"normal",6,174
4.02504535099115,4,0.005,0.5,"normal",6,174
3.99805392570688,4,0.005,0.5,"normal",6,174
4.06511390603714,4,0.005,0.5,"normal",6,174
4.00715949625424,4,0.005,0.5,"normal",6,174
3.97181742381948,4,0.005,0.5,"normal",6,174
4.04899118174184,4,0.005,0.5,"normal",6,174
3.96683027324864,4,0.005,0.5,"normal",6,174
4.04225430121754,4,0.005,0.5,"normal",6,174
3.94124064753189,4,0.005,0.5,"normal",6,174
3.93119321047376,4,0.005,0.5,"normal",6,174
3.9966624149727,4,0.005,0.5,"normal",6,174
4.03620973595912,4,0.005,0.5,"normal",6,174
3.95103314417841,4,0.005,0.5,"normal",6,174
3.97533297863292,4,0.005,0.5,"normal",6,174
4.09911249514693,4,0.005,0.5,"normal",6,174
3.99903606587188,4,0.005,0.5,"normal",6,174
3.97147314693167,4,0.005,0.5,"normal",6,174
4.00271690320125,4,0.005,0.5,"normal",6,174
3.99901741625009,4,0.005,0.5,"normal",6,174
4.01428272775352,4,0.005,0.5,"normal",6,174
3.97664937923161,4,0.005,0.5,"normal",6,174
3.99021888005073,4,0.005,0.5,"normal",6,174
4.02988020486144,4,0.005,0.5,"normal",6,174
4.01918479469345,4,0.005,0.5,"normal",6,174
3.98281641194175,4,0.005,0.5,"normal",6,174
3.969694475772,4,0.005,0.5,"normal",6,174
4.05882594283037,4,0.005,0.5,"normal",6,174
3.97147041214625,4,0.005,0.5,"normal",6,174
4.02955535723884,4,0.005,0.5,"normal",6,174
3.98377719122185,4,0.005,0.5,"normal",6,174
3.95595652088233,4,0.005,0.5,"normal",6,174
4.00831324551107,4,0.005,0.5,"normal",6,174
4.02657923265652,4,0.005,0.5,"normal",6,174
4.02183541767124,4,0.005,0.5,"normal",6,174
4.05810672421156,4,0.005,0.5,"normal",6,174
4.00836064708481,4,0.005,0.5,"normal",6,174
4.02902961505323,4,0.005,0.5,"normal",6,174
