"beta_hat","beta","gamma","sigma","distribution","g","r","cost"
3.96056550596999,4,0.05,0.5,"poisson",4,472,1.9e+07
3.92615368062675,4,0.05,0.5,"poisson",4,472,1.9e+07
3.98003682378323,4,0.05,0.5,"poisson",4,472,1.9e+07
4.00910512306216,4,0.05,0.5,"poisson",4,472,1.9e+07
3.9780951935949,4,0.05,0.5,"poisson",4,472,1.9e+07
3.96556647483307,4,0.05,0.5,"poisson",4,472,1.9e+07
4.0092968864367,4,0.05,0.5,"poisson",4,472,1.9e+07
3.90827739287809,4,0.05,0.5,"poisson",4,472,1.9e+07
3.97248454974899,4,0.05,0.5,"poisson",4,472,1.9e+07
4.00642865086716,4,0.05,0.5,"poisson",4,472,1.9e+07
3.95727715748455,4,0.05,0.5,"poisson",4,472,1.9e+07
4.05862656716326,4,0.05,0.5,"poisson",4,472,1.9e+07
3.98419167824423,4,0.05,0.5,"poisson",4,472,1.9e+07
4.00058636720235,4,0.05,0.5,"poisson",4,472,1.9e+07
3.95100402404441,4,0.05,0.5,"poisson",4,472,1.9e+07
4.00068710651553,4,0.05,0.5,"poisson",4,472,1.9e+07
3.95407959365131,4,0.05,0.5,"poisson",4,472,1.9e+07
3.88956633758325,4,0.05,0.5,"poisson",4,472,1.9e+07
4.02189000085632,4,0.05,0.5,"poisson",4,472,1.9e+07
3.92928228099879,4,0.05,0.5,"poisson",4,472,1.9e+07
3.92111776987194,4,0.05,0.5,"poisson",4,472,1.9e+07
3.95528659899011,4,0.05,0.5,"poisson",4,472,1.9e+07
4.09687896947477,4,0.05,0.5,"poisson",4,472,1.9e+07
3.95420657972692,4,0.05,0.5,"poisson",4,472,1.9e+07
3.97520475039323,4,0.05,0.5,"poisson",4,472,1.9e+07
3.99405936452627,4,0.05,0.5,"poisson",4,472,1.9e+07
3.96856442031578,4,0.05,0.5,"poisson",4,472,1.9e+07
3.92646034378911,4,0.05,0.5,"poisson",4,472,1.9e+07
4.03734223813427,4,0.05,0.5,"poisson",4,472,1.9e+07
4.02757052205264,4,0.05,0.5,"poisson",4,472,1.9e+07
4.04255563274207,4,0.05,0.5,"poisson",4,472,1.9e+07
3.99988453140973,4,0.05,0.5,"poisson",4,472,1.9e+07
4.00239460597452,4,0.05,0.5,"poisson",4,472,1.9e+07
3.98592406470787,4,0.05,0.5,"poisson",4,472,1.9e+07
4.0755325763972,4,0.05,0.5,"poisson",4,472,1.9e+07
3.97607693315572,4,0.05,0.5,"poisson",4,472,1.9e+07
4.0169308404062,4,0.05,0.5,"poisson",4,472,1.9e+07
4.02205054278734,4,0.05,0.5,"poisson",4,472,1.9e+07
3.98095872007146,4,0.05,0.5,"poisson",4,472,1.9e+07
3.93683661019586,4,0.05,0.5,"poisson",4,472,1.9e+07
4.08741168502903,4,0.05,0.5,"poisson",4,472,1.9e+07
4.05850896015962,4,0.05,0.5,"poisson",4,472,1.9e+07
3.88457288834872,4,0.05,0.5,"poisson",4,472,1.9e+07
4.0552363471257,4,0.05,0.5,"poisson",4,472,1.9e+07
3.9533535556441,4,0.05,0.5,"poisson",4,472,1.9e+07
3.98204805431835,4,0.05,0.5,"poisson",4,472,1.9e+07
4.06487258650583,4,0.05,0.5,"poisson",4,472,1.9e+07
3.98834638563896,4,0.05,0.5,"poisson",4,472,1.9e+07
3.94619173954491,4,0.05,0.5,"poisson",4,472,1.9e+07
3.96501576714327,4,0.05,0.5,"poisson",4,472,1.9e+07
4.06953583308206,4,0.05,0.5,"poisson",4,472,1.9e+07
4.00199157426605,4,0.05,0.5,"poisson",4,472,1.9e+07
4.00800724117255,4,0.05,0.5,"poisson",4,472,1.9e+07
4.03300193951805,4,0.05,0.5,"poisson",4,472,1.9e+07
3.93058441216478,4,0.05,0.5,"poisson",4,472,1.9e+07
4.00447599594556,4,0.05,0.5,"poisson",4,472,1.9e+07
4.0315578723883,4,0.05,0.5,"poisson",4,472,1.9e+07
4.01791192817332,4,0.05,0.5,"poisson",4,472,1.9e+07
4.03468961086264,4,0.05,0.5,"poisson",4,472,1.9e+07
4.01997631324917,4,0.05,0.5,"poisson",4,472,1.9e+07
3.9763013204801,4,0.05,0.5,"poisson",4,472,1.9e+07
4.00946507902952,4,0.05,0.5,"poisson",4,472,1.9e+07
3.89027355789362,4,0.05,0.5,"poisson",4,472,1.9e+07
4.02193281981399,4,0.05,0.5,"poisson",4,472,1.9e+07
3.98742374254549,4,0.05,0.5,"poisson",4,472,1.9e+07
4.0509689683459,4,0.05,0.5,"poisson",4,472,1.9e+07
3.97336735744982,4,0.05,0.5,"poisson",4,472,1.9e+07
4.05706010930419,4,0.05,0.5,"poisson",4,472,1.9e+07
4.00474495411984,4,0.05,0.5,"poisson",4,472,1.9e+07
4.00999231091521,4,0.05,0.5,"poisson",4,472,1.9e+07
3.92924599001787,4,0.05,0.5,"poisson",4,472,1.9e+07
3.97099985231237,4,0.05,0.5,"poisson",4,472,1.9e+07
3.96297212339013,4,0.05,0.5,"poisson",4,472,1.9e+07
4.0336653315571,4,0.05,0.5,"poisson",4,472,1.9e+07
3.92974056857218,4,0.05,0.5,"poisson",4,472,1.9e+07
3.97383264257019,4,0.05,0.5,"poisson",4,472,1.9e+07
4.06591479548081,4,0.05,0.5,"poisson",4,472,1.9e+07
4.01768819835309,4,0.05,0.5,"poisson",4,472,1.9e+07
3.91470569691381,4,0.05,0.5,"poisson",4,472,1.9e+07
4.02779478425469,4,0.05,0.5,"poisson",4,472,1.9e+07
3.96636525579088,4,0.05,0.5,"poisson",4,472,1.9e+07
3.93147951048304,4,0.05,0.5,"poisson",4,472,1.9e+07
3.96388788460506,4,0.05,0.5,"poisson",4,472,1.9e+07
4.0792765042612,4,0.05,0.5,"poisson",4,472,1.9e+07
3.98106638393858,4,0.05,0.5,"poisson",4,472,1.9e+07
4.11991526642165,4,0.05,0.5,"poisson",4,472,1.9e+07
3.99210345792699,4,0.05,0.5,"poisson",4,472,1.9e+07
3.99424594869946,4,0.05,0.5,"poisson",4,472,1.9e+07
4.0108833117208,4,0.05,0.5,"poisson",4,472,1.9e+07
3.98794942644786,4,0.05,0.5,"poisson",4,472,1.9e+07
4.04918966533143,4,0.05,0.5,"poisson",4,472,1.9e+07
3.95309983722394,4,0.05,0.5,"poisson",4,472,1.9e+07
4.08241162056789,4,0.05,0.5,"poisson",4,472,1.9e+07
3.98066762703854,4,0.05,0.5,"poisson",4,472,1.9e+07
4.03954770835781,4,0.05,0.5,"poisson",4,472,1.9e+07
3.96804062787158,4,0.05,0.5,"poisson",4,472,1.9e+07
4.01500690095011,4,0.05,0.5,"poisson",4,472,1.9e+07
3.89781160884109,4,0.05,0.5,"poisson",4,472,1.9e+07
3.96440433099717,4,0.05,0.5,"poisson",4,472,1.9e+07
3.98247820397202,4,0.05,0.5,"poisson",4,472,1.9e+07
3.93315933846671,4,0.05,0.5,"poisson",6,313,18960000
3.97984959162738,4,0.05,0.5,"poisson",6,313,18960000
4.0220047763616,4,0.05,0.5,"poisson",6,313,18960000
3.95316899427149,4,0.05,0.5,"poisson",6,313,18960000
4.08937274983854,4,0.05,0.5,"poisson",6,313,18960000
4.01283336398618,4,0.05,0.5,"poisson",6,313,18960000
4.00623093662214,4,0.05,0.5,"poisson",6,313,18960000
3.98800057281312,4,0.05,0.5,"poisson",6,313,18960000
4.00169415053491,4,0.05,0.5,"poisson",6,313,18960000
3.96935760028266,4,0.05,0.5,"poisson",6,313,18960000
3.95080259095952,4,0.05,0.5,"poisson",6,313,18960000
4.02806373793566,4,0.05,0.5,"poisson",6,313,18960000
3.99030928200379,4,0.05,0.5,"poisson",6,313,18960000
3.94470392845345,4,0.05,0.5,"poisson",6,313,18960000
4.00905150800413,4,0.05,0.5,"poisson",6,313,18960000
4.04482435635135,4,0.05,0.5,"poisson",6,313,18960000
4.00015712169267,4,0.05,0.5,"poisson",6,313,18960000
4.02004591466236,4,0.05,0.5,"poisson",6,313,18960000
4.02964952790055,4,0.05,0.5,"poisson",6,313,18960000
3.98606356401288,4,0.05,0.5,"poisson",6,313,18960000
3.93137299786068,4,0.05,0.5,"poisson",6,313,18960000
4.06245547231036,4,0.05,0.5,"poisson",6,313,18960000
3.95689495899034,4,0.05,0.5,"poisson",6,313,18960000
4.05773806254654,4,0.05,0.5,"poisson",6,313,18960000
4.00337512818656,4,0.05,0.5,"poisson",6,313,18960000
3.98200635410977,4,0.05,0.5,"poisson",6,313,18960000
3.92801532701503,4,0.05,0.5,"poisson",6,313,18960000
4.00430258178431,4,0.05,0.5,"poisson",6,313,18960000
4.01922492496847,4,0.05,0.5,"poisson",6,313,18960000
3.99700335126257,4,0.05,0.5,"poisson",6,313,18960000
4.04097250370918,4,0.05,0.5,"poisson",6,313,18960000
4.04425220866439,4,0.05,0.5,"poisson",6,313,18960000
3.97729424653751,4,0.05,0.5,"poisson",6,313,18960000
3.91894561111662,4,0.05,0.5,"poisson",6,313,18960000
3.93092393299537,4,0.05,0.5,"poisson",6,313,18960000
3.972715523342,4,0.05,0.5,"poisson",6,313,18960000
3.97814528036254,4,0.05,0.5,"poisson",6,313,18960000
4.04009463036836,4,0.05,0.5,"poisson",6,313,18960000
3.97667995461298,4,0.05,0.5,"poisson",6,313,18960000
3.95324772515318,4,0.05,0.5,"poisson",6,313,18960000
3.97105445979837,4,0.05,0.5,"poisson",6,313,18960000
4.03449139337585,4,0.05,0.5,"poisson",6,313,18960000
4.00277442152023,4,0.05,0.5,"poisson",6,313,18960000
4.06146148688317,4,0.05,0.5,"poisson",6,313,18960000
3.97421054503148,4,0.05,0.5,"poisson",6,313,18960000
4.02245476144628,4,0.05,0.5,"poisson",6,313,18960000
4.03711478528034,4,0.05,0.5,"poisson",6,313,18960000
3.9713899120829,4,0.05,0.5,"poisson",6,313,18960000
4.00033530276206,4,0.05,0.5,"poisson",6,313,18960000
4.03006440439342,4,0.05,0.5,"poisson",6,313,18960000
3.99254584285019,4,0.05,0.5,"poisson",6,313,18960000
4.03603135785436,4,0.05,0.5,"poisson",6,313,18960000
4.03784897188399,4,0.05,0.5,"poisson",6,313,18960000
4.00182988828313,4,0.05,0.5,"poisson",6,313,18960000
3.98070669255625,4,0.05,0.5,"poisson",6,313,18960000
4.00985033981032,4,0.05,0.5,"poisson",6,313,18960000
3.97854091168298,4,0.05,0.5,"poisson",6,313,18960000
3.95303457425373,4,0.05,0.5,"poisson",6,313,18960000
4.05957048828652,4,0.05,0.5,"poisson",6,313,18960000
4.07131305003218,4,0.05,0.5,"poisson",6,313,18960000
4.06452960236904,4,0.05,0.5,"poisson",6,313,18960000
4.04221044285774,4,0.05,0.5,"poisson",6,313,18960000
3.98182194016132,4,0.05,0.5,"poisson",6,313,18960000
4.01965032309599,4,0.05,0.5,"poisson",6,313,18960000
4.05308723899311,4,0.05,0.5,"poisson",6,313,18960000
4.03126852970843,4,0.05,0.5,"poisson",6,313,18960000
4.00743583884713,4,0.05,0.5,"poisson",6,313,18960000
4.01509502557447,4,0.05,0.5,"poisson",6,313,18960000
4.03971977461699,4,0.05,0.5,"poisson",6,313,18960000
3.93628573305044,4,0.05,0.5,"poisson",6,313,18960000
4.03009003750139,4,0.05,0.5,"poisson",6,313,18960000
4.04318043899816,4,0.05,0.5,"poisson",6,313,18960000
3.94098084322298,4,0.05,0.5,"poisson",6,313,18960000
3.91747426595427,4,0.05,0.5,"poisson",6,313,18960000
3.95741078004094,4,0.05,0.5,"poisson",6,313,18960000
3.95515024142921,4,0.05,0.5,"poisson",6,313,18960000
3.99432368428723,4,0.05,0.5,"poisson",6,313,18960000
4.05214179827521,4,0.05,0.5,"poisson",6,313,18960000
3.99913882485526,4,0.05,0.5,"poisson",6,313,18960000
4.04009749640065,4,0.05,0.5,"poisson",6,313,18960000
3.97865291303244,4,0.05,0.5,"poisson",6,313,18960000
4.05879321433157,4,0.05,0.5,"poisson",6,313,18960000
4.00606665081334,4,0.05,0.5,"poisson",6,313,18960000
4.08206036966072,4,0.05,0.5,"poisson",6,313,18960000
4.09409918419446,4,0.05,0.5,"poisson",6,313,18960000
3.9994141957875,4,0.05,0.5,"poisson",6,313,18960000
3.97871257660866,4,0.05,0.5,"poisson",6,313,18960000
4.04091038319511,4,0.05,0.5,"poisson",6,313,18960000
3.99017873339829,4,0.05,0.5,"poisson",6,313,18960000
3.91102833146879,4,0.05,0.5,"poisson",6,313,18960000
4.00651259632556,4,0.05,0.5,"poisson",6,313,18960000
3.96540278364312,4,0.05,0.5,"poisson",6,313,18960000
3.95150870611221,4,0.05,0.5,"poisson",6,313,18960000
4.06619869375513,4,0.05,0.5,"poisson",6,313,18960000
3.98560466924769,4,0.05,0.5,"poisson",6,313,18960000
3.99453177599518,4,0.05,0.5,"poisson",6,313,18960000
4.05268339693862,4,0.05,0.5,"poisson",6,313,18960000
4.02522177065935,4,0.05,0.5,"poisson",6,313,18960000
3.98377962381209,4,0.05,0.5,"poisson",6,313,18960000
4.0042901847882,4,0.05,0.5,"poisson",6,313,18960000
3.91998186125532,4,0.05,0.5,"poisson",8,234,18960000
3.99091641719101,4,0.05,0.5,"poisson",8,234,18960000
4.09737040803015,4,0.05,0.5,"poisson",8,234,18960000
3.97834295213205,4,0.05,0.5,"poisson",8,234,18960000
