"beta_hat","beta","gamma","sigma","distribution","g","r","cost"
3.96464846549058,4,0.05,0.5,"poisson",4,262,18952000
3.97317552798173,4,0.05,0.5,"poisson",4,262,18952000
4.08945728419276,4,0.05,0.5,"poisson",4,262,18952000
3.96216063227819,4,0.05,0.5,"poisson",4,262,18952000
4.0672958144569,4,0.05,0.5,"poisson",4,262,18952000
3.94661778585795,4,0.05,0.5,"poisson",4,262,18952000
4.01004317929608,4,0.05,0.5,"poisson",4,262,18952000
4.06959420751371,4,0.05,0.5,"poisson",4,262,18952000
3.94037870011351,4,0.05,0.5,"poisson",4,262,18952000
4.02240811043283,4,0.05,0.5,"poisson",4,262,18952000
4.09121941578951,4,0.05,0.5,"poisson",4,262,18952000
3.96257611551378,4,0.05,0.5,"poisson",4,262,18952000
3.94525203083856,4,0.05,0.5,"poisson",4,262,18952000
3.93681420402107,4,0.05,0.5,"poisson",4,262,18952000
3.98323798635513,4,0.05,0.5,"poisson",4,262,18952000
3.97176155729696,4,0.05,0.5,"poisson",4,262,18952000
4.00697656682716,4,0.05,0.5,"poisson",4,262,18952000
3.96091020331593,4,0.05,0.5,"poisson",4,262,18952000
4.01563869617359,4,0.05,0.5,"poisson",4,262,18952000
4.02223328557131,4,0.05,0.5,"poisson",4,262,18952000
3.91215871769433,4,0.05,0.5,"poisson",4,262,18952000
4.07888830182034,4,0.05,0.5,"poisson",4,262,18952000
4.02432003855982,4,0.05,0.5,"poisson",4,262,18952000
4.09481219931312,4,0.05,0.5,"poisson",4,262,18952000
3.96139376273528,4,0.05,0.5,"poisson",4,262,18952000
3.92898847835058,4,0.05,0.5,"poisson",4,262,18952000
4.00331952063027,4,0.05,0.5,"poisson",4,262,18952000
4.03399303611852,4,0.05,0.5,"poisson",4,262,18952000
4.08968872828966,4,0.05,0.5,"poisson",4,262,18952000
4.05858272188133,4,0.05,0.5,"poisson",4,262,18952000
4.00203170664496,4,0.05,0.5,"poisson",4,262,18952000
4.01267560218426,4,0.05,0.5,"poisson",4,262,18952000
4.02792198082642,4,0.05,0.5,"poisson",4,262,18952000
4.0258843745831,4,0.05,0.5,"poisson",4,262,18952000
4.02860946988624,4,0.05,0.5,"poisson",4,262,18952000
4.06896871488946,4,0.05,0.5,"poisson",4,262,18952000
3.9387803359222,4,0.05,0.5,"poisson",4,262,18952000
3.98985649827179,4,0.05,0.5,"poisson",4,262,18952000
4.02312306071714,4,0.05,0.5,"poisson",4,262,18952000
4.03737254368578,4,0.05,0.5,"poisson",4,262,18952000
4.05037906945694,4,0.05,0.5,"poisson",4,262,18952000
4.06392310324017,4,0.05,0.5,"poisson",4,262,18952000
4.01685879267803,4,0.05,0.5,"poisson",4,262,18952000
3.95906891704764,4,0.05,0.5,"poisson",4,262,18952000
3.94981852319424,4,0.05,0.5,"poisson",4,262,18952000
4.02465809143222,4,0.05,0.5,"poisson",4,262,18952000
3.93435704044507,4,0.05,0.5,"poisson",4,262,18952000
4.09909760559637,4,0.05,0.5,"poisson",4,262,18952000
3.88518966881202,4,0.05,0.5,"poisson",4,262,18952000
4.00276378107726,4,0.05,0.5,"poisson",4,262,18952000
3.98765408877534,4,0.05,0.5,"poisson",4,262,18952000
3.97574354147289,4,0.05,0.5,"poisson",4,262,18952000
3.93962559361939,4,0.05,0.5,"poisson",4,262,18952000
4.00647228085177,4,0.05,0.5,"poisson",4,262,18952000
3.97528936641609,4,0.05,0.5,"poisson",4,262,18952000
3.95800582469899,4,0.05,0.5,"poisson",4,262,18952000
4.01038596244938,4,0.05,0.5,"poisson",4,262,18952000
3.9829642055178,4,0.05,0.5,"poisson",4,262,18952000
3.99727376152775,4,0.05,0.5,"poisson",4,262,18952000
4.07736355189454,4,0.05,0.5,"poisson",4,262,18952000
4.01084209414024,4,0.05,0.5,"poisson",4,262,18952000
3.98386631268432,4,0.05,0.5,"poisson",4,262,18952000
3.95123679268007,4,0.05,0.5,"poisson",4,262,18952000
3.97597771870827,4,0.05,0.5,"poisson",4,262,18952000
3.95696669334269,4,0.05,0.5,"poisson",4,262,18952000
4.06103546006029,4,0.05,0.5,"poisson",4,262,18952000
4.1050273409696,4,0.05,0.5,"poisson",4,262,18952000
4.04092962135089,4,0.05,0.5,"poisson",4,262,18952000
4.06033365113222,4,0.05,0.5,"poisson",4,262,18952000
3.94944494902291,4,0.05,0.5,"poisson",4,262,18952000
4.0314124805436,4,0.05,0.5,"poisson",4,262,18952000
3.99263453498651,4,0.05,0.5,"poisson",4,262,18952000
3.95718844945517,4,0.05,0.5,"poisson",4,262,18952000
3.9592845772473,4,0.05,0.5,"poisson",4,262,18952000
4.02234129975361,4,0.05,0.5,"poisson",4,262,18952000
4.0301902348618,4,0.05,0.5,"poisson",4,262,18952000
3.97684165583823,4,0.05,0.5,"poisson",4,262,18952000
3.92887682718531,4,0.05,0.5,"poisson",4,262,18952000
4.07630258972691,4,0.05,0.5,"poisson",4,262,18952000
4.0286708753227,4,0.05,0.5,"poisson",4,262,18952000
3.98044267467129,4,0.05,0.5,"poisson",4,262,18952000
4.05370653777825,4,0.05,0.5,"poisson",4,262,18952000
4.02787428802548,4,0.05,0.5,"poisson",4,262,18952000
