"beta_hat","beta","gamma","sigma","distribution","g","r","cost"
3.95307419125051,4,0.05,0.5,"normal",4,472,1.9e+07
4.03447569727654,4,0.05,0.5,"normal",4,472,1.9e+07
4.01360526396428,4,0.05,0.5,"normal",4,472,1.9e+07
3.98836100806677,4,0.05,0.5,"normal",4,472,1.9e+07
3.98925134701756,4,0.05,0.5,"normal",4,472,1.9e+07
3.99330151034592,4,0.05,0.5,"normal",4,472,1.9e+07
4.08235057163239,4,0.05,0.5,"normal",4,472,1.9e+07
3.98962018725292,4,0.05,0.5,"normal",4,472,1.9e+07
3.9986372858515,4,0.05,0.5,"normal",4,472,1.9e+07
3.99476087800629,4,0.05,0.5,"normal",4,472,1.9e+07
4.06995112632101,4,0.05,0.5,"normal",4,472,1.9e+07
3.99554842267585,4,0.05,0.5,"normal",4,472,1.9e+07
3.89988319398134,4,0.05,0.5,"normal",4,472,1.9e+07
3.98138535367851,4,0.05,0.5,"normal",4,472,1.9e+07
3.95268138376347,4,0.05,0.5,"normal",4,472,1.9e+07
4.04234634126578,4,0.05,0.5,"normal",4,472,1.9e+07
4.040676068987,4,0.05,0.5,"normal",4,472,1.9e+07
4.02672134080276,4,0.05,0.5,"normal",4,472,1.9e+07
3.91127807709614,4,0.05,0.5,"normal",4,472,1.9e+07
3.93314650217047,4,0.05,0.5,"normal",4,472,1.9e+07
4.00360047416269,4,0.05,0.5,"normal",4,472,1.9e+07
3.97752368130526,4,0.05,0.5,"normal",4,472,1.9e+07
3.98890014606943,4,0.05,0.5,"normal",4,472,1.9e+07
4.10543693039918,4,0.05,0.5,"normal",4,472,1.9e+07
4.10829416673992,4,0.05,0.5,"normal",4,472,1.9e+07
3.8588278945468,4,0.05,0.5,"normal",4,472,1.9e+07
3.9851556488828,4,0.05,0.5,"normal",4,472,1.9e+07
3.89467283910079,4,0.05,0.5,"normal",4,472,1.9e+07
3.93345143190545,4,0.05,0.5,"normal",4,472,1.9e+07
4.04246970047258,4,0.05,0.5,"normal",4,472,1.9e+07
3.97677548093066,4,0.05,0.5,"normal",4,472,1.9e+07
3.95332711113,4,0.05,0.5,"normal",4,472,1.9e+07
4.00870959378708,4,0.05,0.5,"normal",4,472,1.9e+07
3.90780236762368,4,0.05,0.5,"normal",4,472,1.9e+07
3.97264679833901,4,0.05,0.5,"normal",4,472,1.9e+07
4.03854925930846,4,0.05,0.5,"normal",4,472,1.9e+07
4.05192379174137,4,0.05,0.5,"normal",4,472,1.9e+07
3.98292342783314,4,0.05,0.5,"normal",4,472,1.9e+07
4.100857349822,4,0.05,0.5,"normal",4,472,1.9e+07
4.02778447597687,4,0.05,0.5,"normal",4,472,1.9e+07
3.97509473309819,4,0.05,0.5,"normal",4,472,1.9e+07
4.00559253596489,4,0.05,0.5,"normal",4,472,1.9e+07
3.87892439207662,4,0.05,0.5,"normal",4,472,1.9e+07
3.92168476030859,4,0.05,0.5,"normal",4,472,1.9e+07
4.05735289444247,4,0.05,0.5,"normal",4,472,1.9e+07
4.06649460073631,4,0.05,0.5,"normal",4,472,1.9e+07
4.06460365941087,4,0.05,0.5,"normal",4,472,1.9e+07
4.01395200287652,4,0.05,0.5,"normal",4,472,1.9e+07
3.96542056305985,4,0.05,0.5,"normal",4,472,1.9e+07
4.04557073598376,4,0.05,0.5,"normal",4,472,1.9e+07
3.99456424156414,4,0.05,0.5,"normal",4,472,1.9e+07
4.04291482138088,4,0.05,0.5,"normal",4,472,1.9e+07
3.87709935656884,4,0.05,0.5,"normal",4,472,1.9e+07
3.98198872505708,4,0.05,0.5,"normal",4,472,1.9e+07
4.01637759751724,4,0.05,0.5,"normal",4,472,1.9e+07
4.14568315826085,4,0.05,0.5,"normal",4,472,1.9e+07
4.01790652765015,4,0.05,0.5,"normal",4,472,1.9e+07
3.91451855362143,4,0.05,0.5,"normal",4,472,1.9e+07
3.95118644159899,4,0.05,0.5,"normal",4,472,1.9e+07
3.99992246481313,4,0.05,0.5,"normal",4,472,1.9e+07
4.01412394532578,4,0.05,0.5,"normal",4,472,1.9e+07
3.98462697781583,4,0.05,0.5,"normal",4,472,1.9e+07
3.98537484597237,4,0.05,0.5,"normal",4,472,1.9e+07
3.99077325545173,4,0.05,0.5,"normal",4,472,1.9e+07
3.84066362306777,4,0.05,0.5,"normal",4,472,1.9e+07
3.97005923846825,4,0.05,0.5,"normal",4,472,1.9e+07
4.01450700421755,4,0.05,0.5,"normal",4,472,1.9e+07
4.03825639077305,4,0.05,0.5,"normal",4,472,1.9e+07
3.95888687391419,4,0.05,0.5,"normal",4,472,1.9e+07
4.05870053565245,4,0.05,0.5,"normal",4,472,1.9e+07
4.05513801848506,4,0.05,0.5,"normal",4,472,1.9e+07
4.00368269279598,4,0.05,0.5,"normal",4,472,1.9e+07
3.94367184787128,4,0.05,0.5,"normal",4,472,1.9e+07
3.9555092519949,4,0.05,0.5,"normal",4,472,1.9e+07
4.01067959068094,4,0.05,0.5,"normal",4,472,1.9e+07
3.9556392598334,4,0.05,0.5,"normal",4,472,1.9e+07
4.04221166577587,4,0.05,0.5,"normal",4,472,1.9e+07
3.94359503843407,4,0.05,0.5,"normal",4,472,1.9e+07
4.01562194246296,4,0.05,0.5,"normal",4,472,1.9e+07
3.99197109895123,4,0.05,0.5,"normal",4,472,1.9e+07
4.04044379729693,4,0.05,0.5,"normal",4,472,1.9e+07
4.0289199880278,4,0.05,0.5,"normal",4,472,1.9e+07
3.94001681239469,4,0.05,0.5,"normal",4,472,1.9e+07
3.97211281599817,4,0.05,0.5,"normal",4,472,1.9e+07
4.02581204123517,4,0.05,0.5,"normal",4,472,1.9e+07
3.98687070671635,4,0.05,0.5,"normal",4,472,1.9e+07
4.08353003655185,4,0.05,0.5,"normal",4,472,1.9e+07
4.06817567310377,4,0.05,0.5,"normal",4,472,1.9e+07
4.06642423003919,4,0.05,0.5,"normal",4,472,1.9e+07
4.02785642321534,4,0.05,0.5,"normal",4,472,1.9e+07
4.02249527729777,4,0.05,0.5,"normal",4,472,1.9e+07
4.06366294179336,4,0.05,0.5,"normal",4,472,1.9e+07
3.92579342804884,4,0.05,0.5,"normal",4,472,1.9e+07
3.98997059787641,4,0.05,0.5,"normal",4,472,1.9e+07
4.11732303219664,4,0.05,0.5,"normal",4,472,1.9e+07
4.00800954152898,4,0.05,0.5,"normal",4,472,1.9e+07
4.01955651773837,4,0.05,0.5,"normal",4,472,1.9e+07
3.94875447998606,4,0.05,0.5,"normal",4,472,1.9e+07
4.01268762205553,4,0.05,0.5,"normal",4,472,1.9e+07
3.95470296539458,4,0.05,0.5,"normal",4,472,1.9e+07
4.06740791082132,4,0.05,0.5,"normal",4,472,1.9e+07
4.06387835095606,4,0.05,0.5,"normal",4,472,1.9e+07
4.04340800684953,4,0.05,0.5,"normal",4,472,1.9e+07
4.01619984030086,4,0.05,0.5,"normal",4,472,1.9e+07
3.98815110239069,4,0.05,0.5,"normal",4,472,1.9e+07
3.99091095059059,4,0.05,0.5,"normal",4,472,1.9e+07
3.94072232381165,4,0.05,0.5,"normal",4,472,1.9e+07
4.06495003504305,4,0.05,0.5,"normal",4,472,1.9e+07
3.90792473144694,4,0.05,0.5,"normal",4,472,1.9e+07
3.92928950451023,4,0.05,0.5,"normal",4,472,1.9e+07
4.00651932234235,4,0.05,0.5,"normal",4,472,1.9e+07
